"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
0.3,1,-100,0.333333333333333,0.000999940007198793,100,0.545924970100065,0.545924970100064,0.545924970100065,0.545924970100065,FALSE,0,8.13461985020879e-16,0,200,FALSE
0.7,1,-100,0.333333333333333,0.00233300675810118,100,0.361853253487271,0.36185325348727,0.361853253487271,0.361853253487271,FALSE,9.20447458127563e-16,4.60223729063782e-16,9.20447458127563e-16,200,FALSE
1,1,-100,0.333333333333333,0.00333266693320056,100,0.283476636531621,0.283476636531621,0.283476636532374,0.283476636531621,FALSE,3.91645335647022e-16,5.87468003470533e-16,2.65515955301899e-12,200,FALSE
1.5,1,-100,0.333333333333333,0.00499850089932607,100,0.198747816432041,0.198747816432946,0.198747816432041,0.198747816432041,FALSE,8.37913375268288e-16,4.55545571687526e-12,8.37913375268288e-16,200,FALSE
3,1,-100,0.333333333333333,0.00999400718921824,100,0.0802830132357189,0.080283013235719,0.0802830132357189,0.080283013235719,FALSE,1.90146906217566e-15,1.72860823834151e-16,1.90146906217566e-15,200,FALSE
10,1,-100,0.333333333333333,0.0332669320074217,100,0.0023469947848601,0.00234699478486599,0.0023469947848601,0.00234699478486592,FALSE,2.47699402075979e-12,3.1228048452697e-14,2.47699402075979e-12,203,FALSE
0.3,1,-50,0.333333333333333,0.00199952023026206,50,0.545961251263312,0.545961251263312,0.545961251263312,0.545961251263312,FALSE,2.0335198185882e-16,6.1005594557646e-16,2.0335198185882e-16,200,FALSE
0.7,1,-50,0.333333333333333,0.00466405625617542,50,0.361888310709847,0.361888310709846,0.361888310709847,0.361888310709847,FALSE,1.53393048596602e-16,6.13572194386409e-16,1.53393048596602e-16,200,FALSE
1,1,-50,0.333333333333333,0.00666134184963833,50,0.283500306635626,0.283500306635626,0.283500306635872,0.283500306635626,FALSE,5.87418954392222e-16,5.87418954392222e-16,8.68401020909835e-13,200,FALSE
1.5,1,-50,0.333333333333333,0.00998802871388923,50,0.198747801036694,0.198747801037599,0.198747801036694,0.198747801036694,FALSE,1.39652240029083e-16,4.55350093838829e-12,1.39652240029083e-16,200,FALSE
3,1,-50,0.333333333333333,0.0199522290268235,50,0.0802279842845679,0.0802279842845677,0.0802279842845679,0.0802279842845677,FALSE,1.72979390315854e-15,1.72979390315854e-16,1.72979390315854e-15,200,FALSE
10,1,-50,0.333333333333333,0.0661416997334315,50,0.00231948018331489,0.00231948018331602,0.00231948018331489,0.00231948018331599,FALSE,4.7640797371136e-13,1.02835316146487e-14,4.7640797371136e-13,203,FALSE
0.3,1,-25,0.333333333333333,0.00399616735515274,25,0.546105186162677,0.546105186162677,0.546105186162677,0.546105186162677,FALSE,4.06596770276573e-16,2.03298385138287e-16,4.06596770276573e-16,200,FALSE
0.7,1,-25,0.333333333333333,0.00931251980729453,25,0.362026350743381,0.362026350743381,0.362026350743381,0.362026350743381,FALSE,0,9.20007360523982e-16,0,200,FALSE
1,1,-25,0.333333333333333,0.0132909375681874,25,0.283592478860064,0.283592478860064,0.283592478860129,0.283592478860064,FALSE,3.91485355707542e-16,7.82970711415083e-16,2.28040219699643e-13,200,FALSE
1.5,1,-25,0.333333333333333,0.0199049106873271,25,0.19874475446403,0.198744754464934,0.19874475446403,0.19874475446403,FALSE,1.39654380768335e-16,4.54910179914775e-12,1.39654380768335e-16,200,FALSE
3,1,-25,0.333333333333333,0.0396232004761661,25,0.0800097561146324,0.0800097561146326,0.0800097561146324,0.0800097561146325,FALSE,2.25486553468688e-15,1.2141583648314e-15,2.25486553468688e-15,200,FALSE
10,1,-25,0.333333333333333,0.129319674558626,25,0.00221800725336519,0.00221800725336565,0.00221800725336519,0.00221800725336569,FALSE,2.28375833404776e-13,1.87706164442281e-14,2.28375833404776e-13,202,FALSE
0.3,1,-22,0.333333333333333,0.00453983361202948,22,0.546160589559212,0.546160589559212,0.546160589559212,0.546160589559212,FALSE,0,2.03277762227622e-16,0,200,FALSE
0.7,1,-22,0.333333333333333,0.0105755581252443,22,0.362079046149362,0.362079046149362,0.362079046149362,0.362079046149362,FALSE,1.5331224444388e-16,1.5331224444388e-16,1.5331224444388e-16,200,FALSE
1,1,-22,0.333333333333333,0.0150894177349029,22,0.283627229912483,0.283627229912483,0.283627229912488,0.283627229912483,FALSE,1.95718694740228e-16,7.82874778960913e-16,1.68318077476596e-14,200,FALSE
1.5,1,-22,0.333333333333333,0.0225881209433405,22,0.198742621423951,0.198742621424855,0.198742621423951,0.198742621423951,FALSE,1.39655879633496e-16,4.54733509674628e-12,1.39655879633496e-16,200,FALSE
3,1,-22,0.333333333333333,0.0449046115974407,22,0.0799258266674648,0.079925826667465,0.0799258266674648,0.0799258266674649,FALSE,1.04180000781627e-15,6.9453333854418e-16,1.04180000781627e-15,200,FALSE
10,1,-22,0.333333333333333,0.145723681172986,22,0.00218190828757413,0.00218190828757353,0.00218190828757413,0.00218190828757361,FALSE,2.36725767949891e-13,3.67710050971703e-14,2.36725767949891e-13,202,FALSE
0.3,1,-20,0.333333333333333,0.0049925224159777,20,0.546211912082261,0.546211912082261,0.546211912082261,0.546211912082261,FALSE,2.03258662080946e-16,2.03258662080946e-16,2.03258662080946e-16,200,FALSE
0.7,1,-20,0.333333333333333,0.0116261166898806,20,0.36212764426258,0.36212764426258,0.36212764426258,0.36212764426258,FALSE,4.59875009081106e-16,9.19750018162212e-16,4.59875009081106e-16,200,FALSE
1,1,-20,0.333333333333333,0.0165841563936796,20,0.283659065204673,0.283659065204673,0.283659065204685,0.283659065204673,FALSE,0,7.82786916275058e-16,4.34446738532657e-14,200,FALSE
1.5,1,-20,0.333333333333333,0.0248152608487032,20,0.198740184483302,0.198740184484206,0.198740184483302,0.198740184483302,FALSE,8.37945552514898e-16,4.54627359516958e-12,8.37945552514898e-16,200,FALSE
3,1,-20,0.333333333333333,0.0492716901645001,20,0.0798481316416064,0.0798481316416059,0.0798481316416064,0.0798481316416059,FALSE,5.56167315026647e-15,5.21406857837482e-16,5.56167315026647e-15,200,FALSE
10,1,-20,0.333333333333333,0.159075191683887,20,0.00214979107255123,0.00214979107255061,0.00214979107255123,0.00214979107255084,FALSE,1.79742887207796e-13,1.07926424978868e-13,1.79742887207796e-13,202,FALSE
0.3,1,-18,0.333333333333333,0.00554530541816186,18,0.546280899176878,0.546280899176878,0.546280899176878,0.546280899176878,FALSE,2.03232993556614e-16,8.12931974226455e-16,2.03232993556614e-16,200,FALSE
0.7,1,-18,0.333333333333333,0.0129074290546957,18,0.362192643994465,0.362192643994465,0.362192643994465,0.362192643994465,FALSE,4.59792479099378e-16,4.59792479099378e-16,4.59792479099378e-16,200,FALSE
1,1,-18,0.333333333333333,0.0184055965240499,18,0.283701323307642,0.283701323307642,0.283701323307646,0.283701323307642,FALSE,1.95667579495434e-16,7.82670317981735e-16,1.27183926672032e-14,200,FALSE
1.5,1,-18,0.333333333333333,0.0275252316519466,18,0.198736222411657,0.19873622241256,0.198736222411657,0.198736222411657,FALSE,1.95524526884643e-15,4.54329170291738e-12,1.95524526884643e-15,200,FALSE
3,1,-18,0.333333333333333,0.0545631755148026,18,0.0797437909991984,0.0797437909991981,0.0797437909991984,0.0797437909991981,FALSE,3.82865334023295e-15,1.74029697283316e-16,3.82865334023295e-15,200,FALSE
10,1,-18,0.333333333333333,0.174979270186815,18,0.00210848893242201,0.0021084889324217,0.00210848893242201,0.00210848893242172,FALSE,1.41304396915576e-13,9.66711303498116e-15,1.41304396915576e-13,202,FALSE
0.3,1,-15,0.333333333333333,0.00664898307628725,15,0.546439019906186,0.546439019906186,0.546439019906186,0.546439019906186,FALSE,2.03174184891804e-16,0,2.03174184891804e-16,200,FALSE
0.7,1,-15,0.333333333333333,0.0154599515152144,15,0.362340230839543,0.362340230839544,0.362340230839543,0.362340230839544,FALSE,1.53201732809626e-16,4.59605198428877e-16,1.53201732809626e-16,200,FALSE
1,1,-15,0.333333333333333,0.0220281268728123,15,0.283795901449684,0.283795901449685,0.283795901449687,0.283795901449685,FALSE,9.78011855486568e-16,3.91204742194627e-16,8.99770907047642e-15,200,FALSE
1.5,1,-15,0.333333333333333,0.032900359861721,15,0.198724250400163,0.198724250401065,0.198724250400163,0.198724250400163,FALSE,8.38012740561014e-16,4.54035302835958e-12,8.38012740561014e-16,200,FALSE
3,1,-15,0.333333333333333,0.0649778198382916,15,0.0795051579846844,0.0795051579846843,0.0795051579846844,0.0795051579846842,FALSE,2.96738474223639e-15,1.04731226196579e-15,2.96738474223639e-15,200,FALSE
10,1,-15,0.333333333333333,0.205354099714415,15,0.00202109991131856,0.00202109991131854,0.00202109991131856,0.00202109991131857,FALSE,8.58306640983952e-15,1.7380709479925e-14,8.58306640983952e-15,202,FALSE
0.3,1,-10,0.333333333333333,0.00994070937823451,10,0.547063331228058,0.547063331228057,0.547063331228058,0.547063331228058,FALSE,0,1.21765392917077e-15,0,200,FALSE
0.7,1,-10,0.333333333333333,0.0230155052443419,10,0.362904463935933,0.362904463935933,0.362904463935933,0.362904463935933,FALSE,1.52963539299582e-16,1.52963539299582e-16,1.52963539299582e-16,200,FALSE
1,1,-10,0.333333333333333,0.0326920704511053,10,0.284139632352179,0.284139632352179,0.28413963235218,0.284139632352179,FALSE,7.81462983839637e-16,0,4.68877790303782e-15,200,FALSE
1.5,1,-10,0.333333333333333,0.0485837703548636,10,0.198640615803643,0.198640615804542,0.198640615803643,0.198640615803644,FALSE,1.6767311460451e-15,4.52186444569262e-12,1.6767311460451e-15,200,FALSE
3,1,-10,0.333333333333333,0.0946273938050036,10,0.0785733808968744,0.0785733808968745,0.0785733808968744,0.0785733808968744,FALSE,7.06488006467671e-16,1.05973200970151e-15,7.06488006467671e-16,200,FALSE
10,1,-10,0.333333333333333,0.284700655416562,10,0.00175040364575576,0.0017504036457557,0.00175040364575576,0.00175040364575567,FALSE,5.06670206751235e-14,1.69715937224741e-14,5.06670206751235e-14,202,FALSE
0.3,1,-5,0.333333333333333,0.0195417442767467,5,0.549937501859866,0.549937501859866,0.549937501859866,0.549937501859866,FALSE,2.0188167216646e-16,2.0188167216646e-16,2.0188167216646e-16,200,FALSE
0.7,1,-5,0.333333333333333,0.0443105561979777,5,0.365155342807056,0.365155342807056,0.365155342807056,0.365155342807056,FALSE,4.56061939046495e-16,4.56061939046495e-16,4.56061939046495e-16,200,FALSE
1,1,-5,0.333333333333333,0.0620468872115024,5,0.28520075946267,0.28520075946267,0.285200759462672,0.28520075946267,FALSE,5.83916585662427e-16,1.94638861887476e-16,5.64452699473679e-15,200,FALSE
1.5,1,-5,0.333333333333333,0.090230210858185,5,0.197695594449854,0.197695594450732,0.197695594449854,0.197695594449854,FALSE,1.40395519145821e-16,4.44393936752267e-12,1.40395519145821e-16,200,FALSE
3,1,-5,0.333333333333333,0.166666666666667,5,0.0746163495085406,0.0746163495085406,0.0746163495085406,0.0746163495085406,FALSE,1.85988565498316e-16,7.43954261993265e-16,1.85988565498316e-16,200,FALSE
10,1,-5,0.333333333333333,0.4372458971633,5,0.00115511450907509,0.00115511450907513,0.00115511450907509,0.00115511450907514,FALSE,3.97970692534996e-14,2.62810834692922e-15,3.97970692534996e-14,201,FALSE
0.3,1,-2,0.333333333333333,0.0441518440112253,2,0.560240029654266,0.560240029654266,0.560240029654266,0.560240029654266,FALSE,1.98169171401461e-16,5.94507514204382e-16,1.98169171401461e-16,200,FALSE
0.7,1,-2,0.333333333333333,0.0915322230804945,2,0.369496903013395,0.369496903013395,0.369496903013395,0.369496903013395,FALSE,1.50234415440406e-16,3.00468830880812e-16,1.50234415440406e-16,200,FALSE
1,1,-2,0.333333333333333,0.122008467928146,2,0.284375898213166,0.284375898213166,0.284375898213166,0.284375898213166,FALSE,5.85610295176778e-16,0,1.95203431725593e-16,200,FALSE
1.5,1,-2,0.333333333333333,0.166666666666667,2,0.190829801125425,0.190829801126225,0.190829801125425,0.190829801125426,FALSE,4.36340269474779e-16,4.18741211939297e-12,4.36340269474779e-16,200,FALSE
3,1,-2,0.333333333333333,0.274291885177432,2,0.0642223958615325,0.0642223958615325,0.0642223958615325,0.0642223958615325,FALSE,4.32179074656007e-16,0,4.32179074656007e-16,200,FALSE
10,1,-2,0.333333333333333,0.597095949159307,2,0.000609635884589285,0.000609635884589287,0.000609635884589285,0.000609635884589288,FALSE,5.86885919881926e-15,2.3119748358985e-15,5.86885919881926e-15,201,FALSE
0.3,1,-0.5,0.333333333333333,0.0939901716341642,0.5,0.575839901412398,0.575839901412397,0.575839901412398,0.575839901412398,FALSE,0,7.71202566478665e-16,0,200,FALSE
0.7,1,-0.5,0.333333333333333,0.159889777040797,0.5,0.365319840334355,0.365319840334355,0.365319840334355,0.365319840334355,FALSE,1.51952193947232e-16,1.51952193947232e-16,1.51952193947232e-16,200,FALSE
1,1,-0.5,0.333333333333333,0.197690110272418,0.5,0.272255999467497,0.272255999467497,0.272255999467497,0.272255999467497,FALSE,2.03893215722819e-16,2.03893215722819e-16,6.11679647168456e-16,200,FALSE
1.5,1,-0.5,0.333333333333333,0.25,0.5,0.17383635496872,0.173836354969374,0.17383635496872,0.17383635496872,FALSE,4.78994896446543e-16,3.76314357144953e-12,4.78994896446543e-16,200,FALSE
3,1,-0.5,0.333333333333333,0.368702408408171,0.5,0.0519056337977358,0.0519056337977358,0.0519056337977358,0.0519056337977358,FALSE,2.67365732627271e-16,2.67365732627271e-16,2.67365732627271e-16,200,FALSE
10,1,-0.5,0.333333333333333,0.704853036132038,0.5,0.000351328617141906,0.000351328617141907,0.000351328617141906,0.000351328617141906,FALSE,7.71501465853819e-16,1.08010205219535e-15,7.71501465853819e-16,200,FALSE
0.3,1,0.5,0.333333333333333,0.177323504967498,0.5,0.572063781034899,0.572063781034898,0.572063781034899,0.572063781034899,FALSE,1.94073294173019e-16,1.94073294173019e-16,1.94073294173019e-16,200,FALSE
0.7,1,0.5,0.333333333333333,0.24322311037413,0.5,0.339744751228099,0.339744751228099,0.339744751228099,0.339744751228098,FALSE,1.63390754472579e-16,1.63390754472579e-16,1.63390754472579e-16,200,FALSE
1,1,0.5,0.333333333333333,0.281023443605751,0.5,0.243919872410813,0.243919872410813,0.243919872410813,0.243919872410813,FALSE,0,0,0,200,FALSE
1.5,1,0.5,0.333333333333333,0.333333333333333,0.5,0.148415865804463,0.148415865804943,0.148415865804463,0.148415865804463,FALSE,0,3.22913942897776e-12,0,200,FALSE
3,1,0.5,0.333333333333333,0.452035741741504,0.5,0.0402231088115696,0.0402231088115696,0.0402231088115696,0.0402231088115696,FALSE,3.45020268642754e-16,3.45020268642754e-16,3.45020268642754e-16,200,FALSE
10,1,0.5,0.333333333333333,0.788186369465371,0.5,0.000214522804981086,0.000214522804981086,0.000214522804981086,0.000214522804981086,FALSE,3.79051369124053e-16,3.79051369124053e-16,3.79051369124053e-16,200,FALSE
0.3,1,2,0.333333333333333,0.377485177344559,2,0.436415494298042,0.436415494298042,0.436415494298042,0.436415494298042,FALSE,2.5439587712414e-16,2.5439587712414e-16,2.5439587712414e-16,200,FALSE
0.7,1,2,0.333333333333333,0.424865556413828,2,0.226855715152477,0.226855715152477,0.226855715152477,0.226855715152477,FALSE,2.44698050450027e-16,1.22349025225014e-16,2.44698050450027e-16,200,FALSE
1,1,2,0.333333333333333,0.45534180126148,2,0.154037316773764,0.154037316773764,0.154037316773764,0.154037316773764,FALSE,1.80187348085229e-16,1.80187348085229e-16,3.60374696170457e-16,200,FALSE
1.5,1,2,0.333333333333333,0.5,2,0.0878683152057931,0.0878683152059727,0.0878683152057931,0.0878683152057931,FALSE,1.57938476176672e-16,2.04340800477378e-12,1.57938476176672e-16,200,FALSE
3,1,2,0.333333333333333,0.607625218510765,2,0.0210205303931407,0.0210205303931407,0.0210205303931407,0.0210205303931407,FALSE,0,0,0,200,FALSE
10,1,2,0.333333333333333,0.93042928249264,2,8.07108436846977e-05,8.07108436846977e-05,8.07108436846977e-05,8.07108436846977e-05,FALSE,0,0,0,201,FALSE
0.3,1,5,0.333333333333333,0.85287507761008,5,0.028909133085472,0.028909133085472,0.028909133085472,0.028909133085472,FALSE,0,0,0,200,FALSE
0.7,1,5,0.333333333333333,0.877643889531311,5,0.0162801624778819,0.0162801624778819,0.0162801624778819,0.0162801624778819,FALSE,4.26217730525377e-16,4.26217730525377e-16,4.26217730525377e-16,203,FALSE
1,1,5,0.333333333333333,0.895380220544836,5,0.0114246508997108,0.0114246508997108,0.0114246508997108,0.0114246508997108,FALSE,7.59201962145171e-16,1.51840392429034e-16,1.97392510157744e-15,203,FALSE
1.5,1,5,0.333333333333333,0.923563544191518,5,0.00664689233923045,0.00664689233923186,0.00664689233923045,0.00664689233923045,FALSE,5.21965269615799e-16,2.10873968924783e-13,5.21965269615799e-16,203,FALSE
3,1,5,0.333333333333333,1,5,0.00152875711992156,0.00152875711992156,0.00152875711992156,0.00152875711992156,FALSE,7.09204986427885e-16,1.41840997285577e-16,7.09204986427885e-16,204,FALSE
10,1,5,0.333333333333333,1.27057923049663,5,3.91029896155503e-06,3.91029896155503e-06,3.91029896155503e-06,3.91029896155503e-06,FALSE,6.49847714138043e-16,6.49847714138043e-16,6.49847714138043e-16,205,FALSE
0.3,1,10,0.333333333333333,1.6766073760449,10,2.94962923850441e-06,2.9496292385044e-06,2.94962923850441e-06,2.9496292385044e-06,FALSE,3.44599085009254e-15,1.86657837713346e-15,3.44599085009254e-15,215,FALSE
0.7,1,10,0.333333333333333,1.68968217191101,10,2.01872716218435e-06,2.01872716218434e-06,2.01872716218435e-06,2.01872716218434e-06,FALSE,2.51752578492413e-15,2.93711341574482e-15,2.51752578492413e-15,215,FALSE
1,1,10,0.333333333333333,1.69935873711777,10,1.52212319314864e-06,1.52212319314863e-06,1.52212319315392e-06,1.52212319314863e-06,FALSE,4.73009023452842e-15,6.95601505077709e-16,3.47786840508753e-12,215,FALSE
1.5,1,10,0.333333333333333,1.71525043702153,10,9.54132217907091e-07,9.54132217944219e-07,9.54132217907091e-07,9.54132217907086e-07,FALSE,4.88263693696204e-15,3.89177235201837e-11,4.88263693696204e-15,215,FALSE
3,1,10,0.333333333333333,1.76129406047167,10,2.40437281778303e-07,2.40437281778301e-07,2.40437281778303e-07,2.40437281778301e-07,FALSE,5.06414750937324e-15,2.20180326494489e-16,5.06414750937324e-15,216,FALSE
10,1,10,0.333333333333333,1.95136732208323,10,5.21404830269794e-10,5.21404830269794e-10,5.21404830269794e-10,5.21404830269793e-10,FALSE,2.77628051742209e-15,2.77628051742209e-15,2.77628051742209e-15,218,FALSE
0.3,1,15,0.333333333333333,2.50664898307629,15,1.81294144178719e-12,1.81294144178719e-12,1.81294144178719e-12,1.81294144178719e-12,FALSE,3.34178016589712e-16,3.34178016589712e-16,3.34178016589712e-16,236,FALSE
0.7,1,15,0.333333333333333,2.51545995151521,15,1.26158932174005e-12,1.26158932174005e-12,1.26158932174005e-12,1.26158932174005e-12,FALSE,4.16193930518458e-15,6.40298354643782e-16,4.16193930518458e-15,236,FALSE
1,1,15,0.333333333333333,2.52202812687281,15,9.61783376845392e-13,9.61783376845398e-13,9.61786206232773e-13,9.61783376845394e-13,FALSE,2.93961982747659e-15,4.19945689639512e-15,2.94181355887765e-06,236,FALSE
1.5,1,15,0.333333333333333,2.53290035986172,15,6.12568404660451e-13,6.12568404660451e-13,6.12568404660451e-13,6.1256840466045e-13,FALSE,2.47256131152226e-15,2.47256131152226e-15,2.47256131152226e-15,236,FALSE
3,1,15,0.333333333333333,2.56497781983829,15,1.59511137519083e-13,1.59511137519084e-13,1.59511137519083e-13,1.59511137519083e-13,FALSE,1.89906856860467e-15,5.22243856366285e-15,1.89906856860467e-15,237,FALSE
10,1,15,0.333333333333333,2.70535409971441,15,3.40521535653617e-16,3.40521535653614e-16,3.40521535653617e-16,3.40521535653616e-16,FALSE,1.15831279761327e-15,5.93635308776799e-15,1.15831279761327e-15,239,FALSE
0.3,1,18,0.333333333333333,3.00554530541816,18,2.5201428756625e-17,2.52014287566252e-17,2.5201428756625e-17,2.52014287566253e-17,FALSE,1.06378670371307e-14,3.54595567904358e-15,1.06378670371307e-14,252,FALSE
0.7,1,18,0.333333333333333,3.0129074290547,18,1.76032589060665e-17,1.76032589060665e-17,1.76032589060665e-17,1.76032589060666e-17,FALSE,1.75052126851217e-15,1.75052126851217e-15,1.75052126851217e-15,252,FALSE
1,1,18,0.333333333333333,3.01840559652405,18,1.34549065758261e-17,1.34549065758262e-17,0,1.34549065758263e-17,FALSE,9.73349279538119e-15,2.6337686387502e-15,1,252,FALSE
1.5,1,18,0.333333333333333,3.02752523165195,18,8.60324643645193e-18,8.60324643645199e-18,8.60324643645193e-18,8.60324643645198e-18,FALSE,5.90992608515717e-15,1.25362068473031e-15,5.90992608515717e-15,253,FALSE
3,1,18,0.333333333333333,3.0545631755148,18,2.26046743185378e-18,2.2604674318538e-18,2.26046743185378e-18,2.2604674318538e-18,FALSE,9.20165586386003e-15,2.21521344870704e-15,9.20165586386003e-15,253,FALSE
10,1,18,0.333333333333333,3.17497927018681,18,4.82835596594304e-21,4.82835596594311e-21,4.82835596594304e-21,4.8283559659431e-21,FALSE,1.30882181732147e-14,1.09068484776789e-15,1.30882181732147e-14,255,FALSE
0.3,1,20,0.333333333333333,3.33832585574931,20,4.87631501352769e-21,4.87631501352773e-21,4.87631501352769e-21,4.87631501352776e-21,FALSE,1.29594942338412e-14,5.86262834388054e-15,1.29594942338412e-14,265,FALSE
0.7,1,20,0.333333333333333,3.34495945002321,20,3.41156518818626e-21,3.41156518818629e-21,3.41156518818626e-21,3.41156518818628e-21,FALSE,5.51298555814951e-15,1.54363595628186e-15,5.51298555814951e-15,265,FALSE
1,1,20,0.333333333333333,3.34991748972701,20,2.61050855263825e-21,2.61050855263829e-21,0,2.61050855263828e-21,FALSE,1.32566329473364e-14,1.00865685468864e-15,1,265,FALSE
1.5,1,20,0.333333333333333,3.35814859418204,20,1.67203578867972e-21,1.67203578867973e-21,1.67203578867972e-21,1.67203578867973e-21,FALSE,5.06182904888864e-15,2.13721670953076e-15,5.06182904888864e-15,265,FALSE
3,1,20,0.333333333333333,3.38260502349783,20,4.41083011177481e-22,4.41083011177484e-22,4.41083011177481e-22,4.41083011177486e-22,FALSE,1.08732751654882e-14,3.83762652899585e-15,1.08732751654882e-14,266,FALSE
10,1,20,0.333333333333333,3.49240852501722,20,9.43203350472297e-25,9.43203350472311e-25,9.43203350472297e-25,9.4320335047231e-25,FALSE,1.38259055673462e-14,3.89462128657641e-16,1.38259055673462e-14,268,FALSE
0.3,1,22,0.333333333333333,3.6712065002787,22,3.91875290731712e-25,3.91875290731715e-25,3.91875290731712e-25,3.91875290731716e-25,FALSE,8.5537304572273e-15,1.52326706772541e-15,8.5537304572273e-15,279,FALSE
0.7,1,22,0.333333333333333,3.67724222479191,22,2.74485395063704e-25,2.74485395063696e-25,2.74485395063704e-25,2.74485395063696e-25,FALSE,2.87733074750826e-14,3.34573342733518e-16,2.87733074750826e-14,279,FALSE
1,1,22,0.333333333333333,3.68175608440157,22,2.10207168463706e-25,2.10207168463706e-25,0,2.10207168463707e-25,FALSE,5.02413030695117e-15,5.02413030695117e-15,1,279,FALSE
1.5,1,22,0.333333333333333,3.68925478761001,22,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,FALSE,6.81231544918315e-16,6.81231544918315e-16,6.81231544918315e-16,279,FALSE
3,1,22,0.333333333333333,3.71157127826411,22,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,FALSE,3.21826217434321e-16,3.21826217434321e-16,3.21826217434321e-16,280,FALSE
10,1,22,0.333333333333333,3.81239034783965,22,7.63687798773087e-29,7.63687798773087e-29,7.63687798773087e-29,7.63687798773088e-29,FALSE,1.02754966267971e-15,1.02754966267971e-15,1.02754966267971e-15,282,FALSE
0.3,1,25,0.333333333333333,4.17066283402182,25,5.41438267499318e-32,5.41438267499334e-32,5.41438267499318e-32,5.41438267499336e-32,FALSE,3.3766667410076e-14,5.25708594408369e-15,3.3766667410076e-14,305,FALSE
0.7,1,25,0.333333333333333,4.17597918647396,25,3.79720441095898e-32,3.79720441095903e-32,3.79720441095898e-32,3.79720441095906e-32,FALSE,2.16231003148167e-14,7.35185410703768e-15,2.16231003148167e-14,305,FALSE
1,1,25,0.333333333333333,4.17995760423485,25,2.91054695481721e-32,2.91054695481734e-32,0,2.91054695481731e-32,FALSE,3.55449473217566e-14,7.14660316522091e-15,1,305,FALSE
